119;40;10;8;0;-1.28;97;0.22352;1009.367
79;26;11;4;0;0.28;95;0.26822;1014.954
101;33;11;5;0;0.5;96;1.78816;1020.54
62;17;16;3;0;0.67;97;1.34112;1020.202
39;7;11;4;0;1.56;98;1.74346;1016.816
34;12;10;4;0;0.72;98;0.49174;1011.737
47;27;10;8;0;0.11;98;0;1008.689
85;26;2;9;1;0.61;98;0.0447;1011.229
83;19;9;6;0;0.56;97;0.17882;1016.816
69;19;16;4;0;0.61;96;0.35763;1019.694
67;18;17;6;0;0.22;94;0.49174;1012.245
67;20;14;7;0;0.33;94;1.1176;1002.256
71;19;24;9;0;-0.22;95;0.89408;1001.748
64;18;24;12;0;-0.94;91;0.84938;1010.552
63;12;26;6;1;-2.61;93;0.98349;1018.34
46;6;27;2;0;-2.5;92;2.14579;1015.969
24;36;14;10;2;-9.94;89;0.26822;1020.71
108;48;16;14;2;-7.78;84;0.44704;1019.017
136;68;10;17;3;-6.17;92;0.49174;1010.382
170;30;16;11;2;1.56;96;0.75997;1002.425
93;18;22;7;1;4.5;81;0.84938;998.362
65;22;20;9;1;5.17;82;0.67056;993.622
73;22;26;10;1;1.89;94;0.93878;993.96
70;9;26;3;0;1.61;97;0.71526;994.638
35;9;25;3;0;0.89;96;1.60934;998.193
39;8;22;2;0;0.67;93;2.05638;1004.626
36;10;23;3;0;0.22;89;1.78816;1008.182
35;16;23;4;1;-0.94;93;1.38582;1001.41
55;14;20;8;0;-0.61;93;1.51994;995.823
47;11;25;2;0;-2.17;94;1.38582;998.193
46;9;25;1;1;-1.72;90;2.05638;1001.071
39;36;19;14;2;-3.72;88;0.40234;1003.949
106;44;19;8;2;-2.56;91;0.80467;1003.272
130;28;27;14;1;-0.5;92;1.38582;1003.441
89;9;27;5;1;-1.44;88;1.83286;1010.721
34;18;26;7;1;-4.44;86;0.62586;1021.556
62;20;29;9;3;-5.33;88;0.80467;1023.588
65;11;31;4;4;-9.56;86;1.25171;1021.895
45;8;30;3;1;-8.33;86;3.88925;1012.753
32;11;27;9;5;-7.06;92;0.93878;1006.996
43;19;19;14;2;-7;91;0.08941;1012.075
68;7;30;6;1;-6;88;1.02819;1022.572
27;13;28;7;1;-4.33;84;0.89408;1030.868
45;7;32;2;1;-1.11;84;2.10109;1032.899
29;6;32;1;1;-1.11;80;2.90576;1033.746
25;24;30;13;1;-2.28;81;1.02819;1031.376
68;47;22;12;3;-4.11;84;0.22352;1021.726
132;53;30;13;5;-2.39;93;0.40234;1015.969
148;39;32;13;12;-4.89;85;0.53645;1021.048
112;41;25;8;2;-1.06;94;1.20701;1016.308
122;28;26;7;1;3.56;91;0.58115;1021.048
87;39;33;6;1;6.11;76;0.62586;1020.371
111;58;20;20;2;6.56;80;0.31293;1023.419
148;41;21;11;2;8.22;75;1.69875;1028.328
107;46;19;11;2;9.72;83;1.34112;1028.667
105;49;20;11;1;10.83;81;1.20701;1024.265
110;11;29;1;1;5.78;87;3.44221;1021.726
41;6;30;1;1;3.89;83;2.05638;1027.99
22;11;25;1;1;3.5;93;3.26339;1030.868
47;12;23;2;1;4.5;88;2.32461;1031.714
47;14;22;2;0;2.11;94;1.87757;1030.868
54;28;23;7;1;4.61;77;1.02819;1023.419
